City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
139,Hobart,-42.8794,147.3294,68.0,45,40,14.97,AU,2021-03-14 22:36:09,scattered clouds
140,Quang Ngai,15.1167,108.8,68.49,93,36,3.96,VN,2021-03-14 22:44:52,scattered clouds
141,Waterloo,43.4668,-80.5164,30.2,43,1,20.71,CA,2021-03-14 22:40:09,clear sky
142,Myitkyina,25.3833,97.4,61.63,80,7,2.89,MM,2021-03-14 22:44:52,clear sky
143,Tingo Maria,-9.2895,-76.0088,73.13,96,77,0.13,PE,2021-03-14 22:43:12,broken clouds
144,Luderitz,-26.6481,15.1594,66.97,75,0,17.02,NA,2021-03-14 22:36:55,clear sky
145,Nanortalik,60.1432,-45.2371,30.51,82,100,9.91,GL,2021-03-14 22:37:34,light snow
146,Chulman,56.8479,124.9104,8.73,91,100,19.42,RU,2021-03-14 22:44:53,light snow
147,Korla,41.7597,86.1469,51.42,36,98,11.12,CN,2021-03-14 22:37:31,overcast clouds
148,Shache,38.4167,77.2406,48.96,36,21,10.31,CN,2021-03-14 22:44:54,few clouds
149,Tarnogskiy Gorodok,60.4997,43.5761,27.88,94,100,8.25,RU,2021-03-14 22:44:54,overcast clouds
150,Bathsheba,13.2167,-59.5167,78.8,73,40,11.5,BB,2021-03-14 22:37:25,scattered clouds
151,Coihaique,-45.5752,-72.0662,75.2,38,0,4.18,CL,2021-03-14 22:36:49,clear sky
152,Sola,-13.8833,167.55,82.4,100,81,2.3,VU,2021-03-14 22:37:20,broken clouds
153,Kupino,54.3663,77.2981,-7.15,99,54,7.38,RU,2021-03-14 22:44:55,broken clouds
154,Vila Franca Do Campo,37.7167,-25.4333,60.8,100,75,11.5,PT,2021-03-14 22:36:23,broken clouds
155,Kisangani,0.5167,25.2,68.9,97,94,3.6,CD,2021-03-14 22:44:56,overcast clouds
156,Veraval,20.9,70.3667,75.33,50,41,16.42,IN,2021-03-14 22:36:19,scattered clouds
157,Sitka,57.0531,-135.33,32.0,43,1,8.05,US,2021-03-14 22:36:41,clear sky
158,Talnakh,69.4865,88.3972,-26.5,99,96,2.35,RU,2021-03-14 22:36:16,overcast clouds
159,Dunedin,-45.8742,170.5036,66.99,59,100,9.26,NZ,2021-03-14 22:32:48,light rain
160,San Patricio,28.017,-97.5169,64.4,68,90,13.8,US,2021-03-14 22:38:14,overcast clouds
161,Nelspruit,-25.4745,30.9703,66.2,94,69,10.36,ZA,2021-03-14 22:44:58,broken clouds
162,Vao,-22.6667,167.4833,76.82,77,7,16.4,NC,2021-03-14 22:44:58,clear sky
163,Pisco,-13.7,-76.2167,84.2,54,0,16.11,PE,2021-03-14 22:36:47,clear sky
164,Kibaya,-5.3,36.5667,56.91,98,7,3.44,TZ,2021-03-14 22:44:58,clear sky
165,Grindavik,63.8424,-22.4338,37.4,87,75,13.8,IS,2021-03-14 22:37:05,broken clouds
166,Kulhudhuffushi,6.6221,73.07,82.08,74,90,11.12,MV,2021-03-14 22:36:26,overcast clouds
167,Auchi,7.0667,6.2667,77.49,81,80,6.26,NG,2021-03-14 22:44:59,broken clouds
168,Opuwo,-18.0607,13.84,70.75,67,29,3.65,NA,2021-03-14 22:37:21,scattered clouds
169,Lascahobas,18.8294,-71.9364,82.4,65,20,12.66,HT,2021-03-14 22:45:00,few clouds
170,Maracas,-13.4411,-40.4308,65.59,78,7,9.55,BR,2021-03-14 22:45:00,clear sky
